MID,V MC,Discover,Amex
1239220055016407,2.09,2.09,2.09
1239220055016415,2.09,2.09,2.09
1239220055029558,2.09,2.09,2.09
1239220055029665,2.09,2.09,2.09
1239220055006630,2.59,2.59,2.59
1239220055006739,2.59,2.59,2.59
1239220055014022,2.59,2.59,2.59
1239220055016431,2.59,2.59,2.59
1239220055016621,2.59,2.59,2.59
1239220055016688,2.59,2.59,2.59
1239220055017157,2.59,2.59,2.59
1239220055017249,2.59,2.59,2.59
1239220055017421,2.59,2.59,2.59
1239220055017553,2.59,2.59,2.59
1239220055017561,2.59,2.59,2.59
1239220055017595,2.59,2.59,2.59
1239220055017603,2.59,2.59,2.59
1239220055018395,2.59,2.59,2.59
1239220055018494,2.59,2.59,2.59
1239220055018841,2.59,2.59,2.59
1239220055019161,2.59,2.59,2.59
1239220055020060,2.59,2.59,2.59
1239220055022157,2.59,2.59,2.59
1239220055022165,2.59,2.59,2.59
1239220055022173,2.59,2.59,2.59
1239220055022496,2.59,2.59,2.59
1239220055022538,2.59,2.59,2.59
1239220055022546,2.59,2.59,2.59
1239220055022553,2.59,2.59,2.59
1239220055022561,2.59,2.59,2.59
1239220055022579,2.59,2.59,2.59
1239220055022694,2.59,2.59,2.59
1239220055022736,2.59,2.59,2.59
1239220055022744,2.59,2.59,2.59
1239220055023601,2.59,2.59,2.59
1239220055023700,2.59,2.59,2.59
1239220055024021,2.59,2.59,2.59
1239220055024039,2.59,2.59,2.59
1239220055024047,2.59,2.59,2.59
1239220055024054,2.59,2.59,2.59
1239220055024963,2.59,2.59,2.59
1239220055025408,2.59,2.59,2.59
1239220055025416,2.59,2.59,2.59
1239220055025424,2.59,2.59,2.59
1239220055026976,2.59,2.59,2.59
1239220055027891,2.59,2.59,2.59
1239220055028378,2.59,2.59,2.59
1239220055028782,2.59,2.59,2.59
1239220055029137,2.59,2.59,2.59
1239220055029285,2.59,2.59,2.59
1239220055030499,2.59,2.59,2.59
1239220055031224,2.59,2.59,2.59
1239220055032685,2.59,2.59,2.59
1239220055032826,2.59,2.59,2.59
1239220055032834,2.59,2.59,2.59
1239220055033287,2.59,2.59,2.59
1239220055033923,2.59,2.59,2.59
1239220055034152,2.59,2.59,2.59
1239220055034418,2.59,2.59,2.59
1239220055034582,2.59,2.59,2.59
